cat /sys/kernel/fvm/bec
bec_pba_page_count cat /sys/kernel/fvm/dedupe
Total Logical  Space  cat /sys/kernel/fvm/fec
FEC Active Count   dmesg
[18870.812196] cwtf:pba_index = 132757, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 95211
[18870.823800] cwtn:pba_index = 95211, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 90343
[18870.828119] cwtn:pba_index = 90343, retry_cnt=2, diskr_cnt = 3, Tag = 105, Next pba_index = 213891
[18870.838745] cwtn:pba_index = 213891, retry_cnt=3, diskr_cnt = 4, Tag = 106, Next pba_index = 0
[18870.841676] cwtf:pba_index = 226526, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 193886
[18870.852144] cwtn:pba_index = 193886, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 10959
[18870.857435] cwtn:pba_index = 10959, retry_cnt=2, diskr_cnt = 3, Tag = 103, Next pba_index = 0
[18870.871999] cwtf:pba_index = 176138, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18870.894171] cwtf:pba_index = 225844, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 223868
[18870.901394] cwtn:pba_index = 223868, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 112672
[18870.906803] cwtn:pba_index = 112672, retry_cnt=2, diskr_cnt = 3, Tag = 103, Next pba_index = 112101
[18870.910549] cwtn:pba_index = 112101, retry_cnt=3, diskr_cnt = 4, Tag = 104, Next pba_index = 0
[18870.936160] cwtf:pba_index = 66169, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18870.953018] cwtf:pba_index = 85245, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 30054
[18870.959485] cwtn:pba_index = 30054, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18870.986145] cwtf:pba_index = 38703, retry_cnt=0, diskr_cnt = 1, Tag = 103, Next pba_index = 0
[18870.997978] cwtf:pba_index = 212403, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 48799
[18871.004281] cwtn:pba_index = 48799, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 60297
[18871.013831] cwtn:pba_index = 60297, retry_cnt=2, diskr_cnt = 3, Tag = 104, Next pba_index = 0
[18871.076157] cwtf:pba_index = 149859, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18871.095221] cwtf:pba_index = 208753, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 130271
[18871.103519] cwtn:pba_index = 130271, retry_cnt=1, diskr_cnt = 2, Tag = 102, Next pba_index = 0
[18871.114868] cwtf:pba_index = 104880, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18871.136649] cwtf:pba_index = 34442, retry_cnt=0, diskr_cnt = 1, Tag = 101, Next pba_index = 0
[18871.148374] cwtf:pba_index = 131124, retry_cnt=0, diskr_cnt = 1, Tag = 104, Next pba_index = 0
[18871.218910] cwtf:pba_index = 155255, retry_cnt=0, diskr_cnt = 1, Tag = 102, Next pba_index = 87373
[18871.223654] cwtn:pba_index = 87373, retry_cnt=1, diskr_cnt = 2, Tag = 103, Next pba_index = 76110
[18871.232423] cwtn:pba_index = 76110, retry_cnt=2, diskr_cnt = 3, Tag = 104, Next pba_index = 102765
[18871.236115] cwtn:pba_index = 102765, retry_cnt=3, diskr_cnt = 4, Tag = 105, Next pba_index = 0
